1:	macro: 0.20426929753013973 	micro: 0.22468756102323764 	accuracy: 0.2297000548984379
2:	macro: 0.0 	micro: 0 	accuracy: 0
3:	macro: 0.3061120367253864 	micro: 0.4458070838583228 	accuracy: 0.3973149673104756
4:	macro: 0.4253286942475699 	micro: 0.4830636514280145 	accuracy: 0.4946598792234366
5:	macro: 0.0007645399108036771 	micro: 0.0009991911309891993 	accuracy: 0.0005240305434945351
6:	macro: 0.3624797734081585 	micro: 0.434649824698567 	accuracy: 0.4439287318460847
7:	macro: 0.24562382960707393 	micro: 0.3007785979458882 	accuracy: 0.2597943803962669
8:	macro: 0.5633150897579455 	micro: 0.5651511643493414 	accuracy: 0.5786544891949893
9:	macro: 0.36370910433130604 	micro: 0.49884092665262647 	accuracy: 0.41079003842890655
10:	macro: 0.545640648341287 	micro: 0.6375224131832209 	accuracy: 0.6521185806258422
11:	macro: 0.6148847677723573 	micro: 0.6420591485905272 	accuracy: 0.6016120177671308
12:	macro: 0.8064327530572282 	micro: 0.8196296522642548 	accuracy: 0.8366771472775365
13:	macro: 0.8419748260881683 	micro: 0.8478753015401744 	accuracy: 0.8551429854768678
14:	macro: 0.8587190830599566 	micro: 0.862071925156639 	accuracy: 0.8772271298098517
15:	macro: 0.8629911856712911 	micro: 0.865708701584453 	accuracy: 0.8787243599341219
16:	macro: 0.8717918503654423 	micro: 0.873023078905071 	accuracy: 0.887782602185956
17:	macro: 0.8750317829624334 	micro: 0.8762372589954561 	accuracy: 0.8902530318910017
18:	macro: 0.8807440358037038 	micro: 0.8817433746612218 	accuracy: 0.8970903827918351
19:	macro: 0.8826454395337396 	micro: 0.8837466105542129 	accuracy: 0.8986874282577232
20:	macro: 0.8850839721232031 	micro: 0.88673877320776 	accuracy: 0.902205919049758
21:	macro: 0.8863259156487135 	micro: 0.8884827670796026 	accuracy: 0.903802964515646
22:	macro: 0.8873246720271373 	micro: 0.8904688936561447 	accuracy: 0.9063233018915007
23:	macro: 0.889529787730176 	micro: 0.8920513795684017 	accuracy: 0.9072216399660628
24:	macro: 0.8882785771739092 	micro: 0.8920054383106941 	accuracy: 0.9086440085841194
25:	macro: 0.8889024315060341 	micro: 0.8916712698704965 	accuracy: 0.9063233018915007
26:	macro: 0.8856853020585278 	micro: 0.890763906721939 	accuracy: 0.9088685931027599
27:	macro: 0.885981965941483 	micro: 0.8873430523693233 	accuracy: 0.8976393671707341
28:	macro: 0.862746079288387 	micro: 0.8695493078002074 	accuracy: 0.8894794629934621
29:	macro: 0.8103041155507726 	micro: 0.8088554999549764 	accuracy: 0.7845236312821281
30:	macro: 0.6800542411612216 	micro: 0.6845209084706112 	accuracy: 0.700953236512452
31:	macro: 0.40850507348759146 	micro: 0.444488718434029 	accuracy: 0.33403204072465936
32:	macro: 0.5666389799103366 	micro: 0.5721561555707183 	accuracy: 0.5858911014622947
33:	macro: 0.7181541516633864 	micro: 0.7337171293360004 	accuracy: 0.7505614612966013
34:	macro: 0.8785609556783716 	micro: 0.8821755953470772 	accuracy: 0.9017567500124769
35:	macro: 0.8813978328978205 	micro: 0.8829914383979316 	accuracy: 0.9033288416429606
36:	macro: 0.8838808996949327 	micro: 0.8855149874393308 	accuracy: 0.9059989020312422
37:	macro: 0.8813986585350524 	micro: 0.8834646053305372 	accuracy: 0.9040774567050955
38:	macro: 0.8764276120656718 	micro: 0.8782426370196997 	accuracy: 0.8988870589409592
39:	macro: 0.8692469340351833 	micro: 0.8709292121684866 	accuracy: 0.8915755851674403
40:	macro: 0.8575879848028413 	micro: 0.8595313242587832 	accuracy: 0.8800469132105605
prediction:	macro: 0.8524473925201533 	micro: 0.8563251843228561 	accuracy: 0.8766511073592214
