1:	macro: 0.16852420919314567 	micro: 0.19696303891411554 	accuracy: 0.2013275440435195
2:	macro: 0.0 	micro: 0 	accuracy: 0
3:	macro: 0.270464068457569 	micro: 0.4626803822152886 	accuracy: 0.4736487498128462
4:	macro: 0.004137678506041744 	micro: 0.005359768533889864 	accuracy: 0.002819783400708689
5:	macro: 0.2287431523181253 	micro: 0.40591620738428524 	accuracy: 0.4153565903079303
6:	macro: 0.02590546743594595 	micro: 0.026451207302023428 	accuracy: 0.01417377850975695
7:	macro: 0.4182121229224928 	micro: 0.46316815993173643 	accuracy: 0.47407296501472274
8:	macro: 0.30987318173454625 	micro: 0.33927010135682134 	accuracy: 0.261441333532964
9:	macro: 0.6135144021051622 	micro: 0.6309039610127881 	accuracy: 0.6444827069920647
10:	macro: 0.7379927777547483 	micro: 0.7884723770399409 	accuracy: 0.7854718770274991
11:	macro: 0.8042594064900677 	micro: 0.8306000172241975 	accuracy: 0.8423416679143584
12:	macro: 0.8297499589810867 	micro: 0.8444756519703858 	accuracy: 0.8553176623246993
13:	macro: 0.8462829718539302 	micro: 0.8534384042356706 	accuracy: 0.86480011977841
14:	macro: 0.8525996777284851 	micro: 0.8573469639118118 	accuracy: 0.8684932874182761
15:	macro: 0.8566868636444234 	micro: 0.8602047226636119 	accuracy: 0.8713130708189849
16:	macro: 0.8609055065291378 	micro: 0.8636542820538091 	accuracy: 0.8747317462694016
17:	macro: 0.8648338878272567 	micro: 0.8668506381510865 	accuracy: 0.8779258372011778
18:	macro: 0.8670841194321757 	micro: 0.8689651773171995 	accuracy: 0.8798722363627289
19:	macro: 0.8683265858112825 	micro: 0.870256479781111 	accuracy: 0.8809951589559315
20:	macro: 0.8703990335741137 	micro: 0.8727214464424369 	accuracy: 0.8834905424963817
21:	macro: 0.8715844037332532 	micro: 0.8739245124867489 	accuracy: 0.8845885112541798
22:	macro: 0.8713099176658933 	micro: 0.8738115497021938 	accuracy: 0.8841143883814943
23:	macro: 0.8733660954683685 	micro: 0.8757478197584774 	accuracy: 0.8858112491890003
24:	macro: 0.8730819418830557 	micro: 0.8755968464300257 	accuracy: 0.8854618954933373
25:	macro: 0.8725485486300759 	micro: 0.8752684456073659 	accuracy: 0.8848130957728203
26:	macro: 0.8722286489165976 	micro: 0.8750339514555916 	accuracy: 0.8843140190647303
27:	macro: 0.8724086679995959 	micro: 0.8754215408940991 	accuracy: 0.8842142037231122
28:	macro: 0.8722768475480687 	micro: 0.8753752826202448 	accuracy: 0.8840145730398762
29:	macro: 0.8721627406535764 	micro: 0.8753614591829169 	accuracy: 0.8838149423566403
30:	macro: 0.8719890044726446 	micro: 0.8756428006329114 	accuracy: 0.8838149423566403
31:	macro: 0.8713713210917913 	micro: 0.8753400267075523 	accuracy: 0.8832909118131457
32:	macro: 0.8713123339953445 	micro: 0.8750726609362439 	accuracy: 0.8827918351050557
33:	macro: 0.8716947457281423 	micro: 0.8754344518794296 	accuracy: 0.8830912811299096
34:	macro: 0.8713414088767559 	micro: 0.875275309955703 	accuracy: 0.8825922044218196
35:	macro: 0.8707186996458767 	micro: 0.8746040388041971 	accuracy: 0.8818934970304936
36:	macro: 0.871164156352552 	micro: 0.8749489625477896 	accuracy: 0.8823177122323701
37:	macro: 0.8708365133778887 	micro: 0.874690563422121 	accuracy: 0.8817188201826621
38:	macro: 0.8713417210768617 	micro: 0.8751810091958859 	accuracy: 0.8822678045615611
39:	macro: 0.871255721631546 	micro: 0.8751531654186522 	accuracy: 0.8822178968907521
40:	macro: 0.8708860576621337 	micro: 0.8746951861066755 	accuracy: 0.8816689125118531
prediction:	macro: 0.8722003516822252 	micro: 0.8776886351331397 	accuracy: 0.8854901181845267
