1:	macro: 0.1579353903945198 	micro: 0.18163424503924724 	accuracy: 0.18593102759894195
2:	macro: 0.0 	micro: 0 	accuracy: 0
3:	macro: 0.24780007928584205 	micro: 0.3569347271380361 	accuracy: 0.2705245296202026
4:	macro: 0.3429617456307768 	micro: 0.4969538941417292 	accuracy: 0.5088835654040026
5:	macro: 0.0006555585905490305 	micro: 0.0008565310492505353 	accuracy: 0.0004491690372810301
6:	macro: 0.1164145280467425 	micro: 0.2858902645968198 	accuracy: 0.283775016219993
7:	macro: 0.6300717826168699 	micro: 0.6177081366811403 	accuracy: 0.612367120826471
8:	macro: 0.7621595821692362 	micro: 0.7703762141906217 	accuracy: 0.7797574487198683
9:	macro: 0.7958473764453811 	micro: 0.8082905382938635 	accuracy: 0.8189100164695313
10:	macro: 0.8106060781466876 	micro: 0.818850127448928 	accuracy: 0.8296900733642761
11:	macro: 0.8241688230063595 	micro: 0.8316322133438396 	accuracy: 0.842765883116235
12:	macro: 0.8318971868144958 	micro: 0.837836506489988 	accuracy: 0.8488546189549334
13:	macro: 0.8395869089449466 	micro: 0.8445544188794918 	accuracy: 0.8559664620452163
14:	macro: 0.8452913736453989 	micro: 0.8492998854693907 	accuracy: 0.8604581524180267
15:	macro: 0.8500911097176292 	micro: 0.8533320196558987 	accuracy: 0.8645006737535559
16:	macro: 0.8544909290705082 	micro: 0.8573082845703727 	accuracy: 0.8682936567350402
17:	macro: 0.8584267482126879 	micro: 0.8608496377704401 	accuracy: 0.8717622398562659
18:	macro: 0.8602431224360485 	micro: 0.862301425912917 	accuracy: 0.8729849777910865
19:	macro: 0.8620353458983085 	micro: 0.864189614137204 	accuracy: 0.874357438738334
20:	macro: 0.8647273500688847 	micro: 0.8667743885140553 	accuracy: 0.8767779607725708
21:	macro: 0.8661703414004103 	micro: 0.8685340572556762 	accuracy: 0.8782003293906273
22:	macro: 0.8680873725075846 	micro: 0.8704270550481362 	accuracy: 0.8798971901981335
23:	macro: 0.8687421310953323 	micro: 0.8711386682805725 	accuracy: 0.8799970055397515
24:	macro: 0.8693790655270094 	micro: 0.8719152194856847 	accuracy: 0.880770574437291
25:	macro: 0.8700749590959062 	micro: 0.8728782151063673 	accuracy: 0.881569097170235
26:	macro: 0.8692104452378505 	micro: 0.8718817217593394 	accuracy: 0.8799970055397515
27:	macro: 0.8691392064665064 	micro: 0.8716280565484656 	accuracy: 0.879273344313021
28:	macro: 0.8688561289466532 	micro: 0.871766947998911 	accuracy: 0.8789239906173579
29:	macro: 0.8702681823719921 	micro: 0.87290369691944 	accuracy: 0.879972051704347
30:	macro: 0.8699224990749851 	micro: 0.8724868772902843 	accuracy: 0.8793232519838299
31:	macro: 0.8691363438502847 	micro: 0.8715699755949505 	accuracy: 0.8778010680241554
32:	macro: 0.8699914699353843 	micro: 0.8723496536426385 	accuracy: 0.8783250985676498
33:	macro: 0.8692925326028256 	micro: 0.8715215370312984 	accuracy: 0.8772520836452563
34:	macro: 0.8684562682401264 	micro: 0.8709485430874149 	accuracy: 0.8764036532415033
35:	macro: 0.8685098993656195 	micro: 0.8709985488732063 	accuracy: 0.8762040225582672
36:	macro: 0.8683669348353259 	micro: 0.871077804935545 	accuracy: 0.8759794380396267
37:	macro: 0.8678460859058579 	micro: 0.8706358367154435 	accuracy: 0.8752308229774917
38:	macro: 0.8679839452755216 	micro: 0.8707891666459797 	accuracy: 0.8753306383191096
39:	macro: 0.8678358283267972 	micro: 0.8707482993197279 	accuracy: 0.8751809153066826
40:	macro: 0.867710307871687 	micro: 0.8706557234562995 	accuracy: 0.8748814692818286
prediction:	macro: 0.8654466515681088 	micro: 0.869453756655492 	accuracy: 0.8757572748038535
